experiment_id,format,train_quality,test_quality,best_val_score,primary_metric,test_subset_accuracy,test_hamming_accuracy,test_f1_macro,test_f1_micro,test_map,test_n_classes_present
efficientnet_b0_syntax_q100_avif_20260529_151710,avif,100,baseline,64.32873291152505,f1_macro,0.11,0.8998717948717949,0.6234588095063883,0.7840845854201447,0.6221269434390693,24
efficientnet_b0_syntax_q95_avif_20260529_151934,avif,95,baseline,64.45629326553706,f1_macro,0.1233333333333333,0.9002564102564102,0.639794675319629,0.7825597749648383,0.6289201292014138,24
efficientnet_b0_syntax_q90_avif_20260529_152150,avif,90,baseline,65.46654391749864,f1_macro,0.1066666666666666,0.8984615384615384,0.6278397032005457,0.7831661092530657,0.6347736004363587,24
efficientnet_b0_syntax_q85_avif_20260529_152357,avif,85,baseline,64.2591558728018,f1_macro,0.12,0.8991025641025641,0.6228230247108612,0.7813199105145414,0.6277955868744887,24
efficientnet_b0_syntax_q80_avif_20260529_152600,avif,80,baseline,64.89074404042428,f1_macro,0.1033333333333333,0.8948717948717949,0.6381576923293782,0.7757675438596491,0.6286339542946834,24
efficientnet_b0_syntax_q75_avif_20260529_152807,avif,75,baseline,64.97952780490863,f1_macro,0.1033333333333333,0.897051282051282,0.632751070390448,0.7788248337028825,0.6311077945640162,24
efficientnet_b0_syntax_q70_avif_20260529_153013,avif,70,baseline,64.69551653123739,f1_macro,0.1066666666666666,0.8974358974358975,0.6294942267482648,0.7796892341842397,0.627576758286234,24
efficientnet_b0_syntax_q60_avif_20260529_153219,avif,60,baseline,63.81578674695969,f1_macro,0.1266666666666666,0.8903846153846153,0.6293419102623998,0.7719585379159847,0.6205654567470245,24
efficientnet_b0_syntax_q50_avif_20260529_153409,avif,50,baseline,64.21292321532303,f1_macro,0.0966666666666666,0.8974358974358975,0.6204970673999002,0.783448275862069,0.6309533374503311,24
efficientnet_b0_syntax_q40_avif_20260529_153607,avif,40,baseline,64.45376713905524,f1_macro,0.1133333333333333,0.8983333333333333,0.6427724916314572,0.7835164835164835,0.632729553263289,24
efficientnet_b0_syntax_q30_avif_20260529_153807,avif,30,baseline,64.15198837187104,f1_macro,0.0933333333333333,0.8933333333333333,0.6395508331760129,0.7765528367840817,0.630330578857937,24
efficientnet_b0_syntax_q20_avif_20260529_153959,avif,20,baseline,63.728394896220095,f1_macro,0.14,0.8993589743589744,0.6388216022180849,0.7819799777530589,0.6347675511822751,24
efficientnet_b0_syntax_q10_avif_20260529_154202,avif,10,baseline,63.012895868900785,f1_macro,0.06,0.8662820512820513,0.6260628395788229,0.756003098373354,0.6124139552648596,24
